AAC_3__VIIIa	AAC_3__VIIIa.3002542.M55426.1.465_1326.12
AAC_3__VIIa	AAC_3__VIIa.3002541.M22999.1.492_1359.694
AAC_3__VIa	AAC_3__VIa.3002540.M88012.1.192_1092.659
AAC_3__Xa	AAC_3__Xa.3002544.AB028210.1.2710_3565.4702
AAC_6___-	AAC_6___33.3002587.JN596280.1.1202_1757.362	AAC_6___I30.3002588.AY289608.1.1523_2078.399
AAC_6___29-	AAC_6___29a.3002583.NG_048575.1.100_502.5868	AAC_6___29b.3002584.NG_048576.1.100_502.5898
AAC_6___30_AAC_6___Ib__fusion_protein	AAC_6___30_AAC_6___Ib__fusion_protein.3002599.AJ584652.2.1926_2913.8193
AAC_6___31	AAC_6___31.3002585.AM283489.1.2655_3174.267
AAC_6___32	AAC_6___32.3002586.EF614235.1.2246_2801.310
AAC_6___34	AAC_6___34.3003989.KX531053.1.0_594.3861
AAC_6___I-	AAC_6___Iaf.3002574.AB462903.1.1199_1751.672	AAC_6___Ip.3002559.Z54241.1.529_1051.5237	AAC_6___Iq.3002560.AF047556.1.126_678.343
AAC_6___I-_1	AAC_6___Ih.3002555.L29044.1.351_792.456	AAC_6___It.3002564.AF031328.1.0_441.736	AAC_6___Iv.3002566.AF031330.1.0_441.81
AAC_6___I-_2	AAC_6___Is.3002562.AF031327.1.0_441.669	AAC_6___Iu.3002565.AF031329.1.0_441.27	AAC_6___Ix.3002568.AF031332.1.0_441.170
AAC_6___I-_3	AAC_6___Iaa.3002571.AE006468.2.1707351_1707789.5208	AAC_6___Iy.3002569.AF144880.1.3541_3979.397
AAC_6___IIa	AAC_6___IIa.3002594.AY123251.1.2950_3505.460
AAC_6___IIb	AAC_6___IIb.3002595.L06163.1.531_1074.497
AAC_6___IIc	AAC_6___IIc.3002596.AF162771.1.61_643.313
AAC_6___Ia	AAC_6___Ia.3002545.M18967.1.756_1314.547
AAC_6___Iad	AAC_6___Iad.3002572.AB119105.1.0_435.264
AAC_6___Iae	AAC_6___Iae.3002573.AB104852.1.1934_2486.583
AAC_6___Iag	AAC_6___Iag.3004638.AB472901.2.1185_1689.5449
AAC_6___Iai	AAC_6___Iai.3002575.EU886977.1.543_1110.708
AAC_6___Iaj	AAC_6___Iaj.3003677.AB709942.1.1194_1749.3379
AAC_6___Iak	AAC_6___Iak.3003199.AB894482.1.35038_35500.4672
AAC_6___Ian	AAC_6___Ian.3003200.AP014611.1.26117_26690.5297
AAC_6___Ib+	AAC_6___Ib.3002546.JQ808129.1.633_1188.231	AAC_6___Ib10.3002581.U59183.1.247_859.314	AAC_6___Ib11.3002582.AY136758.1.377_947.366	AAC_6___Ib3.3002576.FJ854362.1.1702_2257.141	AAC_6___Ib4.3002577.AF445082.1.2788_3343.401	AAC_6___Ib8.3002579.KF998105.1.4171_4849.5456	AAC_6___Ib9.3002580.AF043381.1.251_863.463	AAC_6___Ib_.3003676.AY660529.1.121_676.4753	AAC_6___Ib_Hangzhou.3002592.FJ503047.1.0_519.29	AAC_6___Ib_Suzhou.3002591.EU085533.1.0_519.83	AAC_6___Ib_cr1.3002547.NG_052213.1.100_655.6152	AAC_6___Ib_cr3.3005112.HQ170516.1.426_1026.6153	AAC_6___Ib_cr4.3005114.JZKY01000061.1.787_1366.6154	AAC_6___Ib_cr5.3005115.EU161636.1.1021_1576.6155	AAC_6___Ib_cr6.3005116.EU675686.2.1260_1860.6156	AAC_6___Ib_cr7.3005117.JABGAB010000032.1.11074_11629.6157	AAC_6___Ib_cr8.3005118.CP034250.1.426089_426644.6158	AAC_6___Ib_cr9.3005119.MH569711.1.1959_2514.6159	ANT_3____Ii_AAC_6___IId_fusion_protein.3002598.AF453998.2.3554_4946.8182	aadA11.3002611.AY758206.1.2743_3589.13	aadA6.3002606.AM087411.1.1611_2457.199	aadA6_aadA10.3002622.AM087405.1.1748_2582.409
AAC_6___Ib7	AAC_6___Ib7.3002578.KR091911.1.74564_75350.5850
